question,answer,category
these pajamas,ce pyjama; pyjama is singular in french but plural in english,vocabulary
this article (article is spelled the same in french but is masculine),cet article ('suh-tar-teecl'); normally we use CE for masculine singular but here the noun starts with a vowel so we change CE to CET,vocabulary
this summer (summer is êté in french but is masculine),cet été ('set-a-tay'); normally we use CE for masculine singular but here the noun starts with a vowel so we change CE to CET,vocabulary
this island (island is île in french and is feminine),cette île ('se-teel'); in the feminine case we keep using CETTE even if the noun starts with a vowel; be sure to string the pronunciation together though,vocabulary
white (m/f/m pl/f pl),blanc ('blon') / blanche ('blonch') / blancs (masculine plural; pronounced same as masculine singular) / blanches (feminine plural; pronounced same as feminine singular),vocabulary
black (m/f/m pl/f pl),noir / noire / noirs (masc pl) / noires (fem pl); all four are pronounced exactly the same way,vocabulary
red (m/f/m pl/f pl),rouge / rouge / rouges / rouges; when an adjective ends in 'e' it has the same spelling for masculine and feminine,vocabulary
orange (m/f/m pl/f pl),orange ('or-onj') / orange / orange / orange; We never add an 's' to orange.,vocabulary
yellow (m/f/m pl/f pl),jaune ('joon') / jaune / jaunes / jaunes,vocabulary
green (m/f/m pl/f pl),vert ('ver') / verte ('vert') / verts (masc plural) / vertes (fem plural),vocabulary
blue (m/f/m pl/f pl),bleu ('blu') / bleue / bleus / bleues,vocabulary
purple (m/f/m pl/f pl),violet ('vee-oh-lay') / violette / violets / violettes; Use 'bordeaux' to describe a deep wine color,vocabulary
brown (m/f/m pl/f pl),marron ('meh-ron') / marron / marron / marron; same spelling and pronunciation for all four forms,vocabulary
pink (m/f/m pl/f pl),rose ('roos') / rose / roses / roses; Adjectives that end in 'e' are the same for masculine and feminine.,vocabulary
gray (m/f/m pl/f pl),gris / grise / gris / grises; The adjective already ends in 's' so the masculine plural is same as masculine singular (gris).,vocabulary
silver,argenté,vocabulary
golden,doré,vocabulary
light,clair,vocabulary
dark,foncé,vocabulary
She wears light blue shoes.,Elle porte des chaussures bleues claires.; chaussures are plural and feminine so the adjectives must agree; do not forget to use an article before the noun,vocabulary
He wears a dark yellow jacket.,Il porte une veste jaune foncée.,vocabulary
I like green. / He likes orange.,J'aime le vert. / Il aime l'orange.; do not forget that there must be an article before every noun and - in this case - green is a noun instead of an adjective,vocabulary
Do you have it in white?,Vous l'avez EN blanc,vocabulary
the sky,le ciel,vocabulary
the sea,la mer,vocabulary
the sand,le sable,vocabulary
I think..,je pense,conversation
What is your name? (informal),Comment tu t'appelles? / Quel est ton nom?; nom is masculine so Quel and ton must agree with it,conversation
What is your name? (formal),Comment vous vous appelez? / Quel est votre/ton nom?; nom is masculine so Quel and votre must agree with it,conversation
My name is x.,Je m'appelle x. OR...informally: Moi c'est x.,conversation
But my friends call me x.,Mais mes amis m'appellent x.,conversation
I am x years old.,J'ai x ans.; The number + ans is spoken very quickly; it's also fully linked together (e.g. 44 ans = 'catr-von-ca-TRON' where the end of the number has a liason with ans); ans is a very quick nasal sound 'on' on the end,conversation
How do you pronounce when saying you or someone's age?,there is always a linking between number and 'ans'; 'ans' is pronounced 'oh' super nasal,conversation
What is your nationality?,Quelle est votre/ta nationalité?; nationalité is feminine so Quelle and votre/ta must agree with it.,conversation
I am American.,Je suis Américain (m) / Américainne (f).; the 'n' is pronounced very lightly and only in the feminine version,conversation
You are French(f).,Tu es francais (m) / francaise (f).; masc pronounced 'fran-say'; fem pronounced 'fran-seZ',conversation
How is the name of a language related to nationality?,There are masculine and feminine versions of every nationality. The language is always the masculine version.; e.g. Il est allemand. Elle est allemande. Elle parle allemand.,conversation
I live in New York.,J'habite à New York.,conversation
I am a software engineer.,Je suis Développeur + Je suis software injènieure,conversation
What is the formal name for a software engineer - if you write it?,Ingénieur en développement logiciel or Ingénieur en génie logiciel,conversation
I am X meters tall.,Je mesure ('meh-zoor') 1`6 mètres.; 1.63 meters is 5 feet 4 inches.,conversation
with / without,avec / sans, vocabulary
a noun / a verb, un nom / un verbe,vocabulary
conjugate 'to be' (a profession or a nationality),être: je suis + tu es ('ay') + il/elle/on est ('ay') + nous sommes + vous êtes ('vooz-eht')+ ils/elles sont ('ssson'),verbs
When is est (conjugated 'to be') pronounced as 'ayt' instead of 'ay'?,when the adjective following it starts with a vowel; e.g. Ils est intelligente; If the t in est was not pronounced is would be two vowels together and that is not how french is spoken; But otherwise the t at the end of est is never pronounced.,verbs
When is et (and) pronounced as 'ayt' instead of 'ay'?,Never. Never make the t sound - even when the next word starts with a vowel; e.g. Elle est grande et intelligente - the pronounciation of et does not change.,verbs
conjugate 'to have',avoir: j'ai + tu as + il/elle/on a + nous avons + vous avez + ils/elles ont,verbs
What is the only verb ending in -er that is irregular?,aller (to go),verbs
How do you conjugate regular -er verbs in present tense?,endings: je -e (silent means only pronouce the base without an ending) + tu -es (silent) + il/elle/on -e (silent) + nous -ons (pronounced) + vous -ez (pronounced like 'ay') + ils/elles -ent (-ent is ALWAYS silent in verbs - but not in other words),verbs
How do you remember the ending for nous in regular -er verbs?,the ending for nous is -ons ('ohn' very nasal without much of an 'n' sound on the end); this is the same sound as the on in il/elle/on ..when we use the casual form of 'we' when speaking,verbs
What is the intonation on the conjugated forms for first person singular (je)?,the intonation is always downward and shortened; e.g. je travaille sounds like 'ju tru-vay' not 'ju trav-a-ye'.,verbs
When do you need to use a liason between subject and verb?,If the verb starts with a vowel (or 'ha..' because h is silent) then you must use liason after nous/vous/ils/els even though the 's' at the end of those subjects is silent.,verbs
How are these pronounced differently?: on / -ont / -ons,They are pronounced exactly the same.,verbs
How are these pronounced differently?: -ez / -er / -é / -et / -ai,They are pronounced exactly the same.,verbs
conjugate 'to like',aimer: j'aime + tu aimes + il/elle/on aime + nous aimons + vous aimez + ile/elles aiment,verbs
conjugate 'to want',vouloir: je veux ('voo') + tu veux ('voo') + il/elle/on veut ('voo') + nous voulons ('voo-lon') + vous voulez ('voo-lay') + ils/elle veulent ('vuhl'; the -ent is not pronounced in verbs); NB: veux and veut are NOT pronounced 'voo'; vous is pronounced 'voo'; veux and veut are pronounced like something between 'vuh' and 'voo' (same as peux) so that it is possible to distinguish them from vous,verbs
How do you pronounce... I want + I go + I see?,Je veux ('voo' but higher in the mouth similar to 'vuh') + Je vais ('vay') + Je vois ('vwa'),pronunciation
conjugate 'to go',aller: je vais + tu va + il/elle/on va + nous allons + vous allez +ils/elles vont,verbs
conjugate 'to come',venir: je vien ('vyon') + tu viens ('vyon') + il/elle/on vient ('vyon') + nous venons ('vo-non') + vous venez ('ve-nay') + ils/elles viennent ('vyen'),verbs
conjugate 'to do' / 'to make',faire: je fais ('fay') + tu fais ('fay') + il/elle/on fait ('fay') + nous faisons + vous faites + ils/elles font ('fon'),verbs
conjugate 'to take' / 'to order food',prendre is irregular: je prends ('pruh') + tu prends ('pruh') + il/elle/on prend ('pruh') + nous prenons ('pruh-non' ...nasal ending)+ vous prenez ('pruh-nay') + ils/els prennent ('pren'),verbs
conjugate 'to be able to'; often used as a helper verb (e.g. I can wait. You can work.),pouvoir: je peux ('juh pooh') + tu peux ('pooh') + il/elle/on peut ('pooh') + nous pouvons ('pooh-von') + vous pouvez ('pooh-vay') + ils/elles peuvent ('puhv'; the -ent is NOT pronounced in verbs),verbs
conjugate 'to have to' / 'must', devoir followed by infinitive of action verb: je dois X + tu dois X + il/elle/on doit X + nous devons X + vous devez X + ils/els doivent X (pronounced same as je dois),verbs
conjugate 'to know',savoir: je sais + tu sais + il/elle/on sait + nous nous + vous savons + ils/els savent ('sav'),verbs
conjugate 'to hate',détester: je déteste + tu détestes + il/elle/on déteste + nous détestons + vous détestez + ils/els détestent,verbs
conjugate 'to appreciate',apprécier: j'apprécie + tu apprécies + il/elle/on apprécie + nous apprécions + vous appréciez + ils/elles apprécient,verbs
How do you conjugate for 'we' when speaking?,when writing: nous ___ but when speaking: on ___ (same conjugation as il/elle) and there is often a liason between 'on' and the verb,verbs
to go to Paris,pour aller à Paris,verbs
to go swimming,aller à la piscine,verbs
I go to the office at 8am.,Je vais au bureau à 8 heures.,verbs
I hate being cold.,Je déteste avoid froid.,verbs
listen to the music,ècouter de la musique; remember to always use a preposition and an article (DE LA) after écouter,verbs
a lesson,une leçon / un cours (more like 'a class'),vocabulary
I have french lessons every Sunday with Hugo online.,J'ai des cours de français tous les dimanches avec Hugo en ligne.,verbs
How do you express that you are doing some activity? (e.g. I ski / I go skiing),je fais + du (masc; de + le which is not possible) / de la (fem) / d' (sing if starts with vowel - regardless of gender) / des (pl) + thing you are doing,verbs
How do you know which word follows 'je fais'?,DU if masculine e.g. Je fais du ski.; DE LA if feminine e.g. Je fais de la danse.; DE if negating / not doing something; e.g. Je ne fais pas de danse.,verbs
Explain why we us 'du' with masculine nouns.,in french we never use 'de le'; 'du' is what is used in place of 'de le'; so we use 'de la' in front of fem nouns and 'du' (de + le) in front of masc nouns,verbs
to give kisses hello and goodbye,faire les bis,verbs
I ski.,Je fais du ski - ski is masculine so use 'du',verbs
I dance.,Je fais de la danse - danse is femine so use 'de la',verbs
His friend plays the flute.,Son amis joue de la flûte.; flûte is feminine,verbs
She rides a bike / She's biking.,Elle fait du vélo.; vélo is masculine,verbs
My children go swimming.,Mes enfants font de la natation.,verbs
play sports,faire du sport; sport is masculine,verbs
to play a sport,jouer à un sport,verbs
I play piano.,Je joue (intonation down and short) du piano.; du = de le which is never used in French,verbs
practice an activity,pratique une activité,verbs
watch television,regarder la télé,verbsm
What are you thinking about?,Vous pensez à quoi,verbs
I read lots of books about history.,Je lis beaucoup de livres à propos d'histoire.,verbs
We stay here.,On reste ici.,verbs
to buy,acheter; NB: achats ('ah-sha') is the noun for purchases and is derived from acheter,verbs
to return,rentrer,verbs
to forget / overlook; conjugate and give pronunciation,oublier: j'oublie ('jow-blee') + tu oublies ('o-blee') + il oublie ('o-blee') + nous oublions ('o-blee-on') + vous oubliez ('o-blee-ay')+ ils oublient ('o-blee'); NB: tu oublies... two vowels are together and it's ok and we do not use liason; so the no-two-vowel rule is not always followed,verbs
to live/stay at,habiter,verbs
to dine,dîner,verbs
to travel,voyager,verbs
to go hiking,randonner,verbs
We picnic.,On pique-nique. OR On fait un pique-nique. Pique-nique can be a noun or a verb.,verbs
to go shopping (for luxury clothing or goods),faire du shopping; this is not running errands - it's specifically for a luxurious experience,verbs
to go shopping (for daily food + home goods/furniture + clothing + gifts),faire les courses; this is more like running errands,verbs
to think,penser,verbs
to know (to be familiar with),connaître,verbs
I don't know. ...when you're not familiar with something,Je ne connais pa.,verbs
I haven't seen/heard of that (before).,Je n'ai jamais entendu parler de ça.; The literal translation is I never heard of that.,conversation
to become,devenir; the base is venir (to come); the conjugation in present tense is exactly the same as venir except for nous and vous forms,verbs
to pass/spend,passer,verbs
to cry/weep,pleurer,verbs
to help,aider,verbs
to work,travailler,verbs
to take care of / deal with,s'occuper,verbs
to watch / look at,regarder,verbs
to look for / I am looking for a jacket (in a store).,chercher / Je cherche ('shersh') une veste.,verbs
to celebrate / We celebrate.,féter ...but it is used with faire / On fait la fête. ...literally we make a celebration - this might translate to party but not certain,verbs
to arrive / to happen,arriver,verbs
to sing,chanter,verbs
to begin,commencer,verbs
to dance,danser,verbs
to ask (for something) + to ask (a question) ...2 different verbs,demander (quelque chose) + poser (une question),verbs
to memorize,mémoriser,verbs
to cost,coûter,verbs
to spend (money) / to pay,dépenser / payer ('pay-yay'... two Y sounds),verbs
to leave (a tip),laisser,verbs
the tip, le pourboire; literally 'for a drink',vocabulary
a tip/trick (for doing something fast/well),une astuce,vocabulary
a favor,une faveur,vocabulary
to invite (also means to host - you will pay for the person you invite),inviter,verbs
to share (also to split a bill),parteger; On partage? = shall we split it?,verbs
to hate,détester,verbs
to give,donner,verbs
to read,lire,verbs
to write + to spell,écrire + épeler,verbs
to take + to learn + to understand,prendre + apprendre + comprendre; see how they are all related!,verbs
to study,étudier,verbs
to try / I am trying to read. / I am trying on a dress.,essayer / J'essaie lire. / J'essaie une robe.,verbs
to listen to + to hear (two different verbs),écouter / entendre,verbs
I do not hear the verb.,Je n'entends pas le verbe.; NB: verbe is masculine even though ends in vowel,verbs
to tell a story,racontrer une histoire,verbs
I take notes.,Je prends des notes.,vocabulary
I must read.,Je dois ('dwa') lire.; Use the verb devoir and add the infinitive form of whatever you must do (e.g. lire).,verbs
I must go to the store.,Je dois aller au magasin.;  Use the verb devoir and add the infinitive form of whatever you must do (e.g. aller).,verbs
Conjugate the verb 'to have to' / 'to be required to',devoir: je dois ('dwa') + tu dois ('dwa') + il/elle/on doit ('dwa') + nous devons ('duh-von')+ vous devez ('duh-vay') + ils/elles doivent ('dwa'; -ent is silent in verbs),verbs
How do you pronounce: They must eat.?,Ils doivent manger. ('eel-dwa-manj-ay'); remember -ent is often dropped when pronouncing the third person plural,verbs
What is the direct way to say 'It is required.' or 'It is necessary.'?,Il faut.; In this case we don't use the verb devoir.; Il faut is a common saying.,verbs
to close,fermer,verbs
to finish,finir,verbs
to lie,mentir,verbs
to hire (someone to do something),engager,verbs
to taste,goûter,verbs
to play,jouer,verbs
to drink,boire: je bois + tu bois + il/elle/on boit + nous buvons + vous buvez + ils/elles boivent ('bwav'),verbs
I eat. / I am eating.,Je mange. / Je suis en train de manger.; To use gerund in the present tense: conjugated être + en train de + infinitive of the verb,verbs
I walk a lot. / I am walking.,Je marche beaucoup. / Je suis en train de marcher.,conversation
to run,courir,verbs
to swim,nager,verbs
to offer,offrir,verbs
to open,ouvrir,verbs
to talk / to speak,parler,verbs
to say (something),dire,verbs
to cook,cuisiner ('qwee-zee-nay'),verbs
to cut,couper,verbs
to pour,verser,verbs
to add,ajouter,verbs
to mix / stir,mélanger,verbs
to peel,eplucher,verbs
to salt / to pepper,saler / poiver,verbs
to cook (with heat),faire cuir,verbs
to grill,faire griller,verbs
to fry,faire frire,verbs
to sautee,faire sauter; the literal translation is to jump,verbs
to serve (conjugate),servir; je sers ('sehr') + tu sers ('sehr') + il sert ('sehr') + nous servons ('sehr-von') + vous servez ('sehr-vay') + ils servent ('sehrv'),verbs
to wear / to carry; I am wearing a red scarf.,porter; Je porte une écharpe rouge.,verbs
You are carrying the baggage.,Tu portes les bagages.,verbs
conjugate the verb 'to put on',mettre; je mets ('may') + tu mets ('may') + il met ('may') + nous mettons ('muh-ton') + vous ('muh-tay') + ils mettent ('met'),verbs
I am putting on a dark green sweater.,Je mets ('may') un pull vert foncé.,verbs
conjugate the verb 'to continue' (doing something),laisser ('le-say') - S sound because double s; je laisse ('les') + tu laisses + il laisse + nous Laissons + vous laissez ('le-say')+ ils laissent ('les'),verbs
(you formal) Continue cooking the meat.,Laissez la viande.,verbs
to be hurt,avoir mal,verbs
to go out,sortir (e.g. sortir la nuit),verbs
plans for the evening,le programme de la soirée,vocabulary
interests,les goûts ('goo'),vocabulary
to give an opinion,donner (to give) son opinion / son avis,vocabulary
to dream,rêver,verbs
to seem,sembler,verbs
to ski,skier,verbs
to work,travailler,verbs
I love,j'adore,verbs
I know (it),je said,verbs
I know (of it),je conais,verbs
I know how to prepare coffee.,Je sais préparer le café; don't forget there must always be an article before nouns like cafe!!,verbs
I would like to find...,Je voudrais trouver...  I think this is a future tense of the verb 'to want' (vouloir),verbs
We go to a concert.,On va au concert. OR On voit un concert = We see a concert. Verb is voir.,verbs
to see a band,pour voir un groupe de musique,verbs
to pack / unpack,no analgous verbs exist in french; packing: faire les cartons (e.g. Je fais les cartons.); unpacking: être dans les cartons (e.g. On et dans les cartons.),verbs
I hope,J'espère,verbs
to be called something / to call out,se appeler / appeler ...the first is reflexive so there will always be an additional word to indicate who is the object of the verb; the second means to call to someone or call someone on the telephone - is not reflexive - just a normal ER verb,verbs
conjugate 'to be called',It's reflexive: se appeler; remember that an extra 'L' is added in some of the forms; je m'appelle ('juh-ma-pel') + tu t'appelles ('too-ta-pel') + il/elle/on s'appelle ('el-sah-pel') + nous nous appelons ('nu-nu-zapluh') + vous vous appelez ('vu-vu-zah-play')+ ils/elles s'appellent ('el-sah-pel'); NB: Use s' when working with ON because same conjugation as il/elle.; NB: Only the nous and vous forms have a single L and have a different pronunciation.; NB: There are apostrophes when the pronoun (e.g. me/te/se) ends in a vowel because the verb starts with a vowel and we cannot have two vowels next to eachother.,verbs
Your name is X.,Tu t'appelles X.; uses the reflexive form of the verb: se appeler,verbs
I call you X.,Je t'appelles X.; uses the reflexive form of the verb: se appeler,verbs
I call you (on the telephone).,Je tu appelle.; uses the NON-reflexive form of the verb: appeler; remember that the any object of the verb - direct of indirect ('tu' in this case) comes BEFORE the verb in french!,verbs
reflexive verbs,verbes pronominaux; because a pronoun is part of the verb,verbs
What is the name for the pronoun used in reflexive verbs (e.g. me),le pronom réfléchi,verbs
What must be true if you see the word 'se' written in french?,This is only written when using a reflexive verb. You know that whatever word follows 'se' is a reflexive verb.,verbs
to sit down,s'asseoir ('sa-swar'),verbs
to find,trouver,verbs
to meet up (with friends),se retrouver; retrouver is literally 'to regain',verbs
to meet (for the first time),se recontrer; I'm not certain about the difference between se retrouver and se recontrer.,verbs
to wash / to wash oneself,laver / se laver,verbs
to take a shower,se douche (reflexive),verbs
to shave,se raser; the S sounds like a Z because between to vowels,verbs
to get up (in the morning),se lever (reflexive verb; it starts with a consonant so we use the full reflexive pronouns without apostrophes): je me lève ('lev') + tu te lèves ('lev') + il se lève ('lev') + nous nous lèvons ('lev-on') + vous vous lèvez ('luh-vay') + ils se lèvent ('lev'),verbs
She gets up in the morning.,Elle se lèves ('lev') le matin.,verbs
How do you pronounce: je me lève,The words run together and often E gets dropped: 'jmuh-lev' OR 'juh-mlev',conversation
to get dressed,s'habiller; reflexive verb that starts with a vowel b/c H is silent; This can be used to say you are wearing something but could also use prendre.,verbs
to get undressed,se deshabiller (reflexive verb),verbs
to brush (hair or teeth),se brosser,verbs
to put on makeup,se maquiller,verbs
to sleep,dormir,verbs
to go to bed / to fall asleep,se coucher (reflexive verb); pronounced 'koo-shay',verbs
I fall asleep.,je me couche. ('koosh'),verbs
I remember it.; What is the infinitive of the verb?,Je m'en souviens. (juh-muh-soo-vyuh); se souvenir is the infinitive - it is reflexive which is where the 'me/m'' comes from; This is the most common way to express this idea... 'en' is used in special cases to represent 'it'; French people do NOT say: Je me le souviens.; This is also an interesting case of a sentence that has both a reflexive pronoun (me) AND a direct object of the verb - which must always come before the verb.,verbs
I don't remember it.,Je ne m'en souviens pas.,verbs
You remember it.,Tu t'en souviens.; NB: m' (which stands for me - reflexive pronoun) is replaced by t' (which stands for te),verbs
It helps me to remember.,ça m'aide me souvenir. souvenir is the infinitive form of the verb (to remember) but it is a reflexive verb.,verbs
to replace / Replace X with Y.,replacer / Replacez X par Y.; The formal you (vous) is understood/omitted in the command.,verbs
How do you contruct a command (impératif / imperative)?,There are three possibilities: tu + nous + vous. The subject is assumed so you omit the subject entirely. Then use the present tense conjugation of the verb. For regular -ER verbs: remove the S from the tu form.; e.g. Eat the food.: (tu) Mange / (nous) Mangeons / (vous) Mangez la nourriture.,verbs
(you informal) Cut the bread.,Coupe le pain.; couper is a regular -er verb so we use the present tense conjugation for tu (coupes) and then remove the S.,verbs
(we / let's) Change the sheets.,Changeons les draps.; changer is the verb - the present tense conjugation for nous is changeons.,verbs
(you formal) Listen.,écoutez.; écouter is the verb - the present tense conjugation for vous is écoutez.,verbs
(you informal / let's / you formal) Go to the store.,(tu) Va / (nous) Allons / (vous) Allez au magasin.; Aller is treated as a regular -ER verb in this case so we remove the S from the conjugated tu form.,verbs
(you informal / let's / you formal) Cook the meat.,(tu) Fais cuire / (nous) Faisons / (vous) Faites le viande.; Faire is an irregular verb so we do not delete the S at the end of the tu verb form!,verbs
(you informal / let's / you formal) Be nice.,(tu) Sois / (nous) Soyons / (vous) Soyez sympa.; être is a totally irregular verb for imperative - you have to memorize the three.,verbs
(you informal / let's / you formal) Get a cat.,Use the verb avoir (to have): (tu) Aie / (nous) Ayons / (vous) Ayez un chat.; avoir is a totally irregular verb for imperative - you have to memorize the three.,verbs
(you informal / let's / you formal) Put on the coat.,Use the verb mettre (to put): (tu) Mets / (nous) Mettons / (vous) Mettez le manteau.; keep the S on the tu form because mettre is irregular in the imperative case,verbs
(you informal / let's / you formal) Do something.,Use the verb faire: (tu) Fais / (nous) Faisons / (vous) Faites quelque chose.; keep the S on the tu form because faire is irregular in the imperative case,verbs
How do you construct the near future tense in French (le futur proche)?,ALLER conjugated + INFINITIVE of the verb you are going to do; The direct translation is 'X is going to do something'. NB: All direct and indirect object pronouns are placed between the two verbs!,verbs
I am going to go (for a) walk. Use futur proche.,Je vais marcher.,verbs
They are going to eat. Use futur proche.,Ils vont manger.,verbs
After we go to the cinema we will drink a glass. Use futur proche.,Aprés on va au cinema on va boire une verre.,verbs
You are going to eat it (masculine). Use future proche.,Tu va le manger.; Notice how the object pronoun is placed in between the two verbs in future proche.,verbs
I am going to help you. Use futur proche.,Je vais t'aider.; Notice how the object pronoun is placed in between the two verbs in future proche.; The pronoun te ends in a vowel and the infinitive starts with a vowel so we condense them using apostrophe.,verbs
How do you construct the simple future tense in French (le futur simple)?,ENTIRE INFINITIVE + ending that agrees with subject (je –ai + tu -as + il/elle/on -a + nous -ons + vous -ez+ ils/elles -ont),verbs
I will finish. Use futur simple.,Je finirai. (finir is the infinitive + ai to agree with je),verbs
I will finish it (masculine). Use future simple.,Je le finirai.; All pronouns representing objects of the verb (direct and indirect) are placed before the verb in future simple.,verbs
You will go out. Use future simple.,Tu sortiras. (sortir is the infinitive + as to agree with tu),verbs
You (plural/formal) will sing. Use future simple.,Vous chanterez. (chanter is the infinitive + ez to agree with vous),verbs
They will arrive tonight. Use future simple.,Ils arriveront ce soir.,verbs
I will take. Use future simple.,Je prendrai.; For verbs that end in -e (like PRENDRE) we remove the -e from the infinitive before applying the same future simple endings to agree with the subject.; PRENDR + AI,verbs
They will put. Use future simple.,Ils mettront.; Follows the same pattern as PRENDRE.; 'muh-tron' because -ont is still pronounced in this form.,verbs
We will wait. Use future simple.,On attendra.; Attendre is the infinitive. It ends in -e so subtract the -e. Then add the -a ending for il/elle/on.; ATTENDR + A,verbs
I will come tomorrow. Use future simple.,Je viendrai demain.; This is an example of a verb that is irregular in future simple. The infinitive for 'to come' is VENIR. But we change it to VIENDR and then add the future simple endings.,verbs
You will go. Use future simple.,Tu iras.; Aller is irregular in future simple. The infinitive for 'to go' is ALLER. But we change it to IR and then add the future simple endings.,verbs
We will go shopping / run errands.,Nous ferons des courses.; Faire is irregular in future simple. Instead of 'fair' we use the base 'fer' and then add the endings.,verbs
You (formal/plural) will be in Paris.,Vous serez à Paris.; être is irregular in future simple. We use 'ser' as the base and then add the endings.,verbs
She will have a cat.,Elle aura un chat.; Avoir is irregular in future simple. We use 'aur' as the base and then add the endings.,verbs
What will you eat? (use futur simple).,Que mangeras-tu?,verb
What will you (informal) do? / What will you (formal) do?,Que feras-tu? / Que ferez-vous?; Faire is irregular in past participle using 'fer' as base.,verbs
Where will you (formal) go on vacation?,Où irez-vous en vacances?; Aller is irregular in past participle using 'ir' as base.,verbs
What is the conditionnel tense?,This exists in English (the conditional). It is a future tense that is hypothetical.; e.g. I would/could/should (do something) - there is an implied IF; You would do something IF something else were true but the IF statement is usually implied.,verbs
How is the conditionnel tense constructed in French?,Use the same verb base (the entire infinitive or modified infinitive) as the future simple. Then add the following endings (aka imperfect endings) to agree with subject: je -ais + tu -ais + il/elle/on -ait + nous -ions + vous -iez + ils/elles -aient; NB: Futur conditional for almost all the types of subjects (je/tu/il/ils) sounds exactly the same as the first person singular (je) form for future simple (though spelled differently).,verbs
I will be able to. (futur simple) / I could. (futur conditionnel),Je pourrai. / Je pourrais.; Pronounced exactly the same ('pour-ray') because je/tu/il/elle/on/ils/elles in future conditional sound exactly the same as je in future simple - though spelled differently.; Remember 'ai' sounds like 'ay' in french - like j'ai.,verbs
I will eat. (future simple) / They would eat. (future conditionnel),Je mangerai. / Ils mangeraient.; Pronounced exactly the same ('man-jer-ray') because je/tu/il/elle/on/ils/elles in future conditional sound exactly the same as je in future simple - though spelled differently.,verbs
I quit. / I will quit. / I would quit.,J'ai quitté. / Je quitterai. / Je quitterais.; QUITTER is the infinitive. It also means 'to leave'.,verbs
Using the verb ÉCOUTER... You would listen. / He would listen.(both future conditionnel),Tu écouterais. / Il écouterait.; ('ay-coo-tuh-ray') Both sound exactly the same as Je version in future simple (j'écouterai) - though they are spelled differently.,verbs
Using the verb CHANTER... They would sing. / You (formal/plural) would sing. (both future conditionnel),Tu chanterais. ('shon-tu-ray') / Vous chanteriez. ('shon-tu-ree-ay'); The tu version sounds exactly the same as the je version in future simple (je chanterai) BUT the vous version sounds different because nous and vous versions do not follow the rule that je/tu/il/elle/on/ils/elles follow.,verbs
Using the verb VOIR... She would watch. / We (nous) would watch. (both future conditionnel),Elle verrait. / Nous verrions.; VOIR is irregular in future simple - we use the base 'verr'.; Notice that the pronunciation rule still holds: Elle verrait (She would watch) sounds the same as Je verrai (I will watch). BUT Nous verrions (We would watch) does not sound the same as Je verrai (I will watch) because nous and vous never follow the pronunciation rule.,verbs
I would like some milk.,Je voudrais du lait.,verbs
You (familiar) would go. / You (formal/plural) would go. (both futur conditionnel),Tu irais. / Vous iriez.; ALLER is irregular in future simple - we use the base 'ir'.; The pronunciation similarities still hold. Tu irais (You would go) sounds the same as J'irai (I will go). Vous form sounds different - always does.,verbs
Can you also use le future simple when there is an IF statement?,Yes - an IF statement does not dictate that you use the conditional tense - it depends on what you are trying to communicate.; If she goes I will go. - future simple (WILL); If she goes I would go. - conditional (WOULD),verbs
How do you express that something is in the conditionnel tense (conditional in English)?,au conditionnel,verbs
How do you construct the passé composé (a past tense) in French?,AUXILIARY VERB (conjugated form of etre or avoir) + simple PAST PARTICIPLE of the main verb; in English it's like 'i have jumped.'; NB: If étre is the auxiliary (helper) verb then the past participle must also agree with the subject including gender for ALL forms - not just the third person (e.g. il/elle),verbs
Generally how do you make the past participle of a verb?,-er verbs: stem + é ...which sounds exactly the same as the 2nd person plural (vous) in present that ends with -ez; -re verbs: stem + -is OR stem + u; -ir verbs: stem + i; -oir verbs: stem + u,verbs
I ate.,J'ai mangé.,verbs
You (informal) bought.,Tu as acheté.,verbs
They studied.,Ils ont étudié.; étudier is the infinitive and it follows the same rules because the stem is 'étudi' - not 'étud'.,verbs
They did not study. I did not study.,Ils n'ont étudié. Je n'ai pas étudié.,verbs
All in past tense: I read. / I read it. / I did not read it.,J'ai lu. / Je l'ai lu. / Je ne l'ai pas lu.; Lire changes to Lu for past participle.,verbs
I learn. / I learned., J'apprends. ('juh-prawn') / J'ai appris ('jay-ah-pree'),verbs
What is the past participle for to take + to learn + to understand?,prendre -> pris + apprendre -> appris + comprendre -> compris; remember S is silent at the end,verbs
I took. / I gave.,J'ai pris. (prendre changes to pris for past participle) / J'ai donné.,verbs
We drank. / We saw.,On a bu. (emphasize B) / On a vu. (emphasize V); boire is the infinitive and it changes to 'bu' in past participle,verbs
They wanted something.,Ils/Elles ont voulu quelque chose.;Voulour is the infinitive. It uses avoir in passé composé and the participle is voulu.; NB: The general rule for making a past participle for a verb ending in -OIR is to replace -OIR with -U.,verbs
We saw something.,On a vu. / Nous avons vu quelque chose.; Voir is the infinitive. It uses avoir in passé composé and the participle is vu.; NB: The general rule for making a past participle for a verb ending in -OIR is to replace -OIR with -U.,verbs
You were able (to pay).,Tu a pu (payer).; Pouvoir is the infinitive (to be able to). Pouvoir uses avoir in passé composé and the participle for all subjects is pu.; NB: pouVOIR is the infinitive so it should be conjugated exactly the same as VOIR (to see).,verbs
Which 5 verbs have a totally irregular past particle?,avoir (eu) + être (été) + faire (fait) + offrir (offert) + ouvrir (ouvert),verbs
He had. / He was. / He did (something).,Il a eu. / Il a été. / Il a fait.; All the 5 verbs with an irregular past participle use AVOIR as the auxiliary verb in passé composé.,verbs
